timestamp;temperature;value
2018-03-21;2.82;176.54
2018-03-22;1.08;196.75
2018-03-23;5.33;148.92
2018-03-24;9.9;101.15
2018-03-25;9.11;100.82
2018-03-26;7.84;91.36
2018-03-27;6.44;105.8
2018-03-28;8.7;101.56
2018-03-29;5.96;77.14
2018-03-30;5.96;124.5
2018-03-31;4.23;86.13
2018-04-01;5.57;117.14
2018-04-02;8.71;115.67
2018-04-03;14.08;76.26
2018-04-04;11.12;18.14
2018-04-05;9.44;60.87
2018-04-06;11.21;78.02
2018-04-07;14.76;50.12
2018-04-08;16.74;13.72
2018-04-10;11.53;4.89
2018-04-11;12.64;69.47
2018-04-12;14.43;45.29
2018-04-13;12.36;38.94
2018-04-14;14.3;51.47
2018-04-15;13.99;29.2
2018-04-16;13.14;41.52
2018-04-17;16.65;34.81
2018-04-18;18.4;6.41
2018-04-19;18.57;15.65
2018-04-20;19.54;7.35
2018-04-26;12.34;0.43
2018-04-27;15.7;21.92
2018-04-28;18.15;6.65
2018-05-01;10.97;11.22
2018-05-02;12.01;50.89
2018-05-03;14.15;30.45
2018-05-04;16.71;6.44
2018-05-10;12.58;0.26
2018-05-11;16.6;19.41
2018-05-12;19.96;6.33
2018-05-14;11.31;35.97
2018-05-15;11.66;44.01
2018-05-16;11.86;49.63
2018-05-17;13.5;53.32
2018-05-18;17.07;33.08
2018-05-19;15.98;5.99
2018-05-27;23.18;0.01
2018-05-28;22.96;0.99
2018-06-09;22.26;0.44
2018-06-10;23.55;0.56
2018-06-14;16.95;1.98
2018-06-15;19.77;2.02
2018-06-19;22.88;0.42
2018-06-20;24.16;0.58
2018-07-02;24.78;0.38
2018-07-03;21.21;0.62
2018-07-15;22.04;0.18
2018-07-16;22.41;0.82
2018-07-29;24.78;0.36
2018-07-30;27.6;0.64
2018-08-10;19.18;0.49
2018-08-11;20.5;0.51
2018-08-26;15.35;0.38
2018-08-27;20.04;0.62
2018-09-02;14.82;1.46
2018-09-03;17.03;0.54
2018-09-04;19.54;0.03
2018-09-05;20.37;0.97
2018-09-22;15.82;0.51
2018-09-23;19.78;0.49
2018-09-24;11.91;0.07
2018-09-25;11.54;3.36
2018-09-26;12.62;31.63
2018-09-27;16.37;16.45
2018-09-28;18.04;1.49
2018-09-29;14.82;0.39
2018-09-30;15.72;1.6
2018-10-01;10.49;1.2
2018-10-02;10.55;21.43
2018-10-03;13.99;33.38
2018-10-04;14.96;19.2
2018-10-05;15.71;23.55
2018-10-06;17.17;8.25
2018-10-07;18.0;0.38
2018-10-10;16.76;2.43
2018-10-11;14.69;0.19
2018-10-12;17.02;1.46
2018-10-13;16.69;0.54
2018-10-15;16.6;0.45
2018-10-16;15.93;0.55
2018-10-17;14.98;15.56
2018-10-18;15.12;14.47
2018-10-19;12.46;24.42
2018-10-20;13.99;41.47
2018-10-21;11.41;52.38
2018-10-22;9.58;87.02
2018-10-23;10.95;87.17
2018-10-24;13.6;42.7
2018-10-25;13.62;40.53
2018-10-26;12.49;46.36
2018-10-27;6.68;48.94
2018-10-28;3.0;130.23
2018-10-29;5.18;167.57
2018-10-30;4.69;124.53
2018-10-31;6.45;116.87
2018-11-01;9.83;113.72
2018-11-02;10.63;85.64
2018-11-03;10.98;59.12
2018-11-04;10.06;58.69
2018-11-05;10.36;68.59
2018-11-06;10.71;82.6
