timestamp;value
2010-02-01;600.0
2010-03-01;550.0
2010-04-01;528.0
2010-05-01;259.0
2010-06-01;27.0
2010-07-01;0.0
2010-08-01;0.0
2010-09-01;0.0
2010-10-01;62.0
2010-11-01;346.0
2010-12-01;448.0
2011-01-01;655.0
2011-02-01;644.0
2011-03-01;574.0
2011-04-01;435.0
2011-05-01;269.0
2011-06-01;178.0
2011-07-01;55.0
2011-08-01;7.0
2011-09-01;0.0
2011-10-01;0.0
2011-11-01;324.0
2011-12-01;555.0
2012-01-01;658.0
2012-02-01;583.0
2012-03-01;850.0
2012-04-01;535.0
2012-05-01;466.0
2012-06-01;222.0
2012-07-01;116.0
2012-08-01;75.0
2012-09-01;50.0
2012-10-01;129.0
2012-11-01;560.0
2012-12-01;722.0
2013-01-01;933.0
2013-02-01;940.0
2013-03-01;987.0
2013-04-01;911.0
2013-05-01;628.0
2013-06-01;516.0
2013-07-01;235.0
2013-08-01;30.0
2013-09-01;89.0
2013-10-01;274.0
2013-11-01;433.0
2013-12-01;943.0
2014-01-01;979.0
2014-02-01;975.0
2014-03-01;722.0
2014-04-01;655.0
2014-05-01;531.0
2014-06-01;345.0
2014-07-01;125.0
2014-08-01;127.0
2014-09-01;153.0
2014-10-01;216.0
2014-11-01;324.0
2014-12-01;603.0
2015-01-01;833.0
2015-02-01;1021.0
2015-03-01;932.0
2015-04-01;889.0
2015-05-01;538.0
2015-06-01;297.0
2015-07-01;106.0
2015-08-01;17.0
2015-09-01;114.0
2015-10-01;420.0
2015-11-01;785.0
2015-12-01;871.0
2016-01-01;763.0
2016-02-01;668.0
2016-03-01;576.0
2016-04-01;619.0
2016-05-01;463.0
2016-06-01;316.0
2016-07-01;164.0
2016-08-01;65.0
2016-09-01;94.0
2016-10-01;161.0
2016-11-01;487.0
2016-12-01;638.0
2017-01-01;757.0
2017-02-01;851.0
2017-03-01;643.0
2017-04-01;571.0
2017-05-01;406.0
2017-06-01;249.0
2017-07-01;55.0
2017-08-01;65.0
2017-09-01;75.0
2017-10-01;298.0
2017-11-01;376.0
2017-12-01;387.0
2018-01-01;441.0
2018-02-01;0.0
2018-03-01;76.0
2018-04-01;34.0
2018-05-01;4.0
2018-06-01;0.0
2018-07-01;0.0
2018-08-01;0.0
2018-09-01;0.0
2018-10-01;0.0
2018-11-01;325.0
2018-12-01;294.0
2019-01-01;379.0
2019-02-01;552.0
2019-03-01;250.0
2019-04-01;423.0
2019-05-01;185.0
2019-06-01;98.0
2019-07-01;9.0
2019-08-01;3.0
2019-09-01;0.0
2019-10-01;4.0
2019-11-01;9.0
2019-12-01;423.0
